,saleDate,bedroomNum,bathroomNum,houseArea,parkingArea,floorNum,houseRank,coveredArea,basementArea,buildYear,repairedYear,longitude,latitude,salePrice
0,20140502,2,1.0,6.779921907472252,6380,1.0,7,880,0,1938,1994,47.6924,-122.322,403415.25501769694
1,20150213,4,2.5,7.965545573129992,8833,2.0,7,2880,0,2006,0,47.5388,-121.89,538669.7818430763
2,20141215,4,2.5,7.590852123688581,5020,2.0,7,1980,0,2007,0,47.5147,-122.19,375956.75487195933
3,20140617,3,2.5,7.948031990637284,6536,2.0,9,2830,0,1989,0,47.7462,-122.17200000000001,585090.0291756588
4,20150410,3,1.75,7.549609165154532,13600,1.0,8,1900,0,1956,0,47.6163,-122.219,994613.7984349784
5,20150123,3,1.0,7.22983877815125,10875,1.0,7,1380,0,1977,0,47.4653,-121.745,272043.86658676015
6,20140905,3,1.5,7.3395376954076745,5040,2.0,8,1540,0,1907,0,47.6138,-122.29899999999999,670928.5511085761
7,20141113,5,3.75,8.263590432617319,8370,2.0,7,3880,0,2004,0,47.4811,-122.179,456522.4306911469
8,20140624,4,2.5,8.077136638538454,15600,1.0,9,1680,1540,1973,0,47.5697,-122.182,907200.2141144044
9,20150220,4,2.5,7.600902459542082,6921,2.0,8,2000,0,2003,0,47.3559,-122.014,355567.4711440681
10,20150302,2,1.5,6.709304340258298,1270,2.0,7,820,0,2009,0,47.5925,-122.295,343086.794627609
11,20140509,3,2.0,7.251344983372214,4800,1.0,7,1410,0,1940,0,47.6852,-122.37799999999999,539492.4723413619
12,20141218,2,1.5,6.907755278982137,1075,2.0,7,840,160,2007,0,47.5708,-122.288,283347.2995287566
13,20141021,3,2.5,7.478734825567875,5000,2.0,7,1770,0,2009,0,47.3358,-122.051,281351.8611680378
14,20141028,4,2.5,7.965545573129992,35610,1.0,10,2880,0,1989,0,47.6911,-122.054,795628.8455116455
15,20150302,3,1.75,7.098375638590786,7500,1.0,7,1210,0,1951,0,47.5294,-122.03299999999999,384822.0293529803
16,20140728,2,2.0,7.27931883541462,2272,1.0,6,750,700,1924,0,47.633,-122.28200000000001,471384.66772525414
17,20150423,4,2.5,7.757906208351747,5420,2.0,8,2340,0,2003,0,47.3773,-122.029,379989.0689158553
18,20150417,4,2.5,7.904703913873747,6474,2.0,8,2710,0,2004,0,47.5383,-121.87799999999999,573978.7523287135
19,20150316,3,2.5,7.3901814282264295,1377,2.0,8,1100,520,2009,0,47.6195,-122.29899999999999,667509.478684789
20,20150219,4,2.5,8.0925452638913,24750,1.0,8,1690,1580,1979,0,47.5221,-122.178,543176.3647452872
21,20150401,4,3.25,8.55256033525353,19850,2.0,12,3540,1640,2006,0,47.562,-122.162,1819561.0236855743
22,20150331,3,1.75,7.6544432264701125,7129,1.0,8,1280,830,1982,0,47.7219,-122.102,491605.67949097505
23,20140828,3,1.5,7.170119543449628,7885,1.0,7,1300,0,1968,0,47.4556,-122.209,250047.74501101044
